DOI:10.1109/TTE.2024.3360966
DOI:10.1109/TITS.2024.3386689
DOI:10.1016/j.trc.2025.105203
DOI:10.1007/s00138-025-01751-3
DOI:10.1109/TITS.2023.3309309
DOI:10.1109/TITS.2025.3628676
